Time,HR (bpm),RR (bpm)
1,60,18
2,62,18
3,62,18
4,62,18
5,62,18
6,62,18
7,62,18
8,61,18
9,61,19
10,61,19
11,61,19
12,61,19
13,61,19
14,61,19
15,61,19
16,62,19
17,62,19
18,62,19
19,62,19
20,62,19
21,62,19
22,62,19
23,62,19
24,62,19
25,62,19
26,62,19
27,62,19
28,62,19
29,62,19
30,62,19
31,62,19
32,63,19
33,63,19
34,63,19
35,63,19
36,63,19
37,63,19
38,63,19
39,63,19
40,63,20
41,63,20
42,63,20
43,63,20
44,63,20
45,63,20
46,63,20
47,63,20
48,63,20
49,63,19
50,62,19
51,62,19
52,62,19
53,62,19
54,62,19
55,62,19
56,62,19
57,62,19
58,62,19
59,62,19
60,62,19
61,62,19
62,62,19
63,62,19
64,62,19
65,62,19
66,61,19
67,61,19
68,61,19
69,61,19
70,61,19
71,61,19
72,62,19
73,62,19
74,61,19
75,61,19
76,61,19
77,61,19
78,62,19
79,62,19
80,62,19
81,62,19
82,62,18
83,62,18
84,62,18
85,62,18
86,62,18
87,62,19
88,62,19
89,62,19
90,62,19
91,62,19
92,69,19
93,69,19
94,70,19
95,70,18
96,70,18
97,70,18
98,70,18
99,70,18
100,66,18
101,66,18
102,65,18
103,65,18
104,62,18
105,62,18
106,62,18
107,62,18
108,61,18
109,61,18
110,62,18
111,62,18
112,62,19
113,62,19
114,62,19
115,62,19
116,62,19
117,62,19
118,62,20
119,62,20
120,62,20
121,62,19
122,62,19
123,62,20
124,61,20
125,61,20
126,61,20
127,61,20
128,60,20
129,60,20
130,60,20
131,60,20
132,61,20
133,61,20
134,62,20
135,62,20
136,62,18
137,62,18
138,63,18
139,63,18
140,63,18
141,63,18
142,62,18
143,62,18
144,61,18
145,61,18
146,60,18
147,60,18
148,60,18
149,60,18
150,60,18
151,60,18
152,59,18
153,59,18
154,59,18
155,59,18
156,59,18
157,59,18
158,59,18
159,59,18
160,61,18
161,61,18
162,61,18
163,61,18
164,62,18
165,62,18
166,62,18
167,62,18
168,61,18
169,61,18
170,61,18
171,61,18
172,61,18
173,61,18
174,61,18
175,61,17
176,60,17
177,60,17
178,60,17
179,60,17
180,60,17
181,60,17
182,60,17
183,60,17
184,61,18
185,61,18
186,61,19
187,61,19
188,61,19
189,61,19
190,61,19
191,61,19
192,61,19
193,61,20
194,61,20
195,61,20
196,61,20
197,61,20
198,61,20
199,61,20
200,61,20
201,61,20
202,61,20
203,61,20
204,60,20
205,60,20
206,60,20
207,60,20
208,60,20
209,60,20
210,60,20
211,60,20
212,60,20
213,60,20
214,60,20
215,60,20
216,59,20
217,59,20
218,59,20
219,59,20
220,59,20
221,59,20
222,59,20
223,59,20
224,59,20
225,59,20
226,59,20
227,59,20
228,59,20
229,59,20
230,59,20
231,59,20
232,59,19
233,59,19
234,59,19
235,59,20
236,61,20
237,61,20
238,61,20
239,61,20
240,61,20
241,61,20
242,60,20
243,60,20
244,60,20
245,60,19
246,60,19
247,60,19
248,59,19
249,59,19
250,59,19
251,59,19
252,59,19
253,59,19
254,59,19
255,59,19
256,59,19
257,59,19
258,58,19
259,58,19
260,58,19
261,58,19
262,58,19
263,58,19
264,58,19
265,58,19
266,58,19
267,58,19
268,57,19
269,57,19
270,57,19
271,57,19
272,57,19
273,57,19
274,58,19
275,58,19
276,58,19
277,58,19
278,59,19
279,59,19
280,59,19
281,59,18
282,60,18
283,60,19
284,60,19
285,60,19
286,60,19
287,60,19
288,60,19
289,60,19
290,62,19
291,62,19
292,62,19
293,62,19
294,62,19
295,62,19
296,61,19
297,61,19
298,61,19
299,61,19
300,61,19
301,61,19
302,60,19
303,60,19
304,61,19
305,61,18
306,60,18
307,60,18
308,59,18
309,59,19
310,59,19
311,59,19
312,59,19
313,59,19
314,60,19
315,60,19
316,60,19
317,60,19
318,60,19
319,60,18
320,61,18
321,61,18
322,63,18
323,63,18
324,63,18
325,63,18
326,63,18
327,63,18
328,64,18
329,64,19
330,64,19
331,64,18
332,63,18
333,63,18
334,63,18
335,63,18
336,63,18
337,63,18
338,63,18
339,63,18
340,64,18
341,64,18
342,74,18
343,74,18
344,78,18
345,78,18
346,78,19
347,78,19
348,78,19
349,78,19
350,74,19
351,74,19
352,71,18
353,71,18
354,68,18
355,68,18
356,65,18
357,65,17
358,63,17
359,63,17
360,61,17
361,61,17
362,61,17
363,61,17
364,60,17
365,60,17
366,60,17
367,60,17
368,59,17
369,59,17
370,59,17
371,59,17
372,59,17
373,59,17
374,59,17
375,59,17
376,59,17
377,59,17
378,60,17
379,60,17
380,60,17
381,60,17
382,60,17
383,60,17
384,60,17
385,60,17
386,61,17
387,61,17
388,61,17
389,61,17
390,61,17
391,61,17
392,62,17
393,62,17
394,62,17
395,62,17
396,62,17
397,62,17
398,62,16
399,62,16
400,62,16
401,62,16
402,60,16
403,60,16
404,59,17
405,59,17
406,59,17
407,59,18
408,58,18
409,58,18
410,58,18
411,58,17
412,58,17
413,58,17
414,58,17
415,58,17
416,58,17
417,58,17
418,58,17
419,58,17
420,58,17
421,58,17
422,58,17
423,58,17
424,59,17
425,59,18
426,59,18
427,59,18
428,59,18
429,59,17
430,59,17
431,59,17
432,59,17
433,59,17
434,60,17
435,60,17
436,61,17
437,61,17
438,61,17
439,61,18
440,61,18
441,61,18
442,61,18
443,61,18
444,61,18
445,61,18
446,61,17
447,61,17
448,61,17
449,61,18
450,61,18
451,61,18
452,61,18
453,61,18
454,61,18
455,61,18
456,61,18
457,61,18
458,61,17
459,61,17
460,61,17
461,61,18
462,62,18
463,62,18
464,62,18
465,62,18
466,63,18
467,63,19
468,63,19
469,63,19
470,63,19
471,63,19
472,63,19
473,63,19
474,63,18
475,63,18
476,63,18
477,63,19
478,62,19
479,62,19
480,60,19
481,60,19
482,60,19
483,60,19
484,60,19
485,60,19
486,59,19
487,59,19
488,59,19
489,59,19
490,59,18
491,59,18
492,59,18
493,59,19
494,59,19
495,59,19
496,59,19
497,59,19
498,60,19
499,60,19
500,60,19
501,60,19
502,60,19
503,60,19
504,60,19
505,60,19
506,60,19
507,60,20
508,60,20
509,60,20
510,59,20
511,59,19
512,59,19
513,59,19
514,59,19
515,59,19
516,59,19
517,59,19
518,59,19
519,59,20
520,59,20
521,59,20
522,58,19
523,58,19
524,58,20
525,58,20
526,59,20
527,59,20
528,59,20
529,59,20
530,59,20
531,59,20
532,60,20
533,60,20
534,60,20
535,60,20
536,60,21
537,60,21
538,60,21
539,60,20
540,59,20
541,59,20
542,59,20
543,59,20
544,59,20
545,59,20
546,60,20
547,60,20
548,61,20
549,61,20
550,61,20
551,61,20
552,61,20
553,61,20
554,59,20
555,59,18
556,59,18
557,59,18
558,59,18
559,59,19
560,60,19
561,60,18
562,61,18
563,61,18
564,61,18
565,61,18
566,61,18
567,61,18
568,61,18
569,61,18
570,62,18
571,62,18
572,62,18
573,62,18
574,62,18
575,62,18
576,62,18
577,62,18
578,62,18
579,62,18
580,62,18
581,62,18
582,61,17
583,61,17
584,60,17
585,60,17
586,60,17
587,60,17
588,60,17
589,60,17
590,60,17
591,60,17
592,58,17
593,58,17
594,58,17
595,58,17
596,58,17
597,58,17
598,59,18
599,59,18
600,59,18
601,59,18
602,59,18
603,59,18
604,59,18
605,59,18
606,60,18
607,60,18
608,60,18
609,60,18
610,60,18
611,60,18
612,60,18
613,60,19
614,60,19
615,60,19
616,60,19
617,60,19
618,60,19
619,60,19
620,60,19
621,60,19
622,61,19
623,61,19
624,61,19
625,61,19
626,60,19
627,60,19
628,60,19
629,60,19
630,60,19
631,60,19
632,60,19
633,60,19
634,60,19
635,60,19
636,60,19
637,60,19
638,60,19
639,60,19
640,61,19
641,61,20
642,61,20
643,61,20
644,61,20
645,61,20
646,61,20
647,61,19
648,61,19
649,61,19
650,60,19
651,60,19
652,60,19
653,60,19
654,60,19
655,60,19
656,59,19
657,59,19
658,59,19
659,59,19
660,59,19
661,59,19
662,59,18
663,59,18
664,59,18
665,59,18
666,59,18
667,59,18
668,59,18
669,59,18
670,61,18
671,61,19
672,61,19
673,61,19
674,61,19
675,61,19
676,61,19
677,61,19
678,61,19
679,61,19
680,60,19
681,60,19
682,60,19
683,60,19
684,60,19
685,60,19
686,60,19
687,60,19
688,60,19
689,60,19
690,60,19
691,60,19
692,60,19
693,60,19
694,60,19
695,60,19
696,60,19
697,60,19
698,60,19
699,60,19
700,60,19
701,60,19
702,60,19
703,60,19
704,60,18
705,60,18
706,60,18
707,60,18
708,60,18
709,60,19
710,61,19
711,61,19
712,61,19
713,61,19
714,61,19
715,61,19
716,61,19
717,61,19
718,61,19
719,61,17
720,61,17
721,61,17
722,61,17
723,61,17
724,61,17
725,61,17
726,59,17
727,59,17
728,59,17
729,59,17
730,59,17
731,59,17
732,59,17
733,59,17
734,61,17
735,61,17
736,62,17
737,62,17
738,62,17
739,62,18
740,62,18
741,62,18
742,60,18
743,60,18
744,60,17
745,60,17
746,60,17
747,60,17
748,60,17
749,60,17
750,60,17
751,60,17
752,60,17
753,60,18
754,60,18
755,60,18
756,60,18
757,60,18
758,60,18
759,60,18
760,60,18
761,60,18
762,60,18
763,60,18
764,59,18
765,59,19
766,57,19
767,57,19
768,57,20
769,57,20
770,57,20
771,57,20
772,59,20
773,59,20
774,59,20
775,59,20
776,59,20
777,59,20
778,59,19
779,59,19
780,59,19
781,59,19
782,58,19
783,58,19
784,58,19
785,58,19
786,59,19
787,59,19
788,59,19
789,59,19
790,59,19
791,59,19
792,59,19
793,59,19
794,59,19
795,59,19
796,59,19
797,59,19
798,59,19
799,59,19
800,59,19
801,59,19
802,59,19
803,59,19
804,59,19
805,59,19
806,59,19
807,59,19
808,59,19
809,59,19
810,59,20
811,59,20
812,59,20
813,59,19
814,60,19
815,60,19
816,60,19
817,60,19
818,61,19
819,61,19
820,61,19
821,61,19
822,67,19
823,67,18
824,71,18
825,71,18
826,72,19
827,72,20
828,72,20
829,72,20
830,72,19
831,72,19
832,68,19
833,68,19
834,68,19
835,68,19
836,68,19
837,68,19
838,66,19
839,66,19
840,65,19
841,65,19
842,65,19
843,65,19
844,65,19
845,65,18
846,65,18
847,65,18
848,70,19
849,70,19
850,70,19
851,70,19
852,70,19
853,70,19
854,67,19
855,67,18
856,66,18
857,66,18
858,66,18
859,66,18
860,65,18
861,65,18
862,65,17
863,65,17
864,65,17
865,65,17
866,65,17
867,65,17
868,65,17
869,65,17
870,65,17
871,65,17
872,62,18
873,62,18
874,62,18
875,62,18
876,62,18
877,62,18
878,61,17
879,61,17
880,62,17
881,62,18
882,62,18
883,62,18
884,61,18
885,61,18
886,61,18
887,61,18
888,61,18
889,61,18
890,59,18
891,59,18
892,59,18
893,59,18
894,59,18
895,59,18
896,61,18
897,61,18
898,61,18
899,61,18
900,61,18
901,61,18
902,61,18
903,61,18
904,61,18
905,61,18
906,61,18
907,61,18
908,61,18
909,61,18
910,63,17
911,63,18
912,64,18
913,64,18
914,64,18
915,64,18
916,64,18
917,64,18
918,63,18
919,63,18
920,63,18
921,63,18
922,63,18
923,63,19
924,62,19
925,62,19
926,61,19
927,61,18
928,61,18
929,61,18
930,61,18
931,61,18
932,60,18
933,60,18
934,59,18
935,59,18
936,60,18
937,60,18
938,60,18
939,60,18
940,59,18
941,59,18
942,60,18
943,60,19
944,60,19
945,60,19
946,60,19
947,60,19
948,63,19
949,63,19
950,63,19
951,63,20
952,63,20
953,63,20
954,63,20
955,63,20
956,63,20
957,63,20
958,64,19
959,64,19
960,64,19
961,64,20
962,64,20
963,64,20
964,64,19
965,64,19
966,63,19
967,63,20
968,63,20
969,63,19
970,62,19
971,62,19
972,62,20
973,62,20
974,61,20
975,61,20
976,61,20
977,61,20
978,60,20
979,60,20
980,60,20
981,60,20
982,58,20
983,58,20
984,58,20
985,58,20
986,58,20
987,58,20
988,58,20
989,58,19
990,58,19
991,58,20
992,58,20
993,58,20
994,59,20
995,59,20
996,59,20
997,59,20
998,59,20
999,59,20
1000,59,20
1001,59,20
1002,59,20
1003,59,20
1004,60,20
1005,60,20
1006,62,20
1007,62,20
1008,62,20
1009,62,20
1010,62,20
1011,62,20
1012,62,20
1013,62,20
1014,60,20
1015,60,19
1016,60,19
1017,60,19
1018,60,19
1019,60,19
1020,62,19
1021,62,19
1022,62,19
1023,62,19
1024,62,19
1025,62,19
1026,62,19
1027,62,19
1028,61,19
1029,61,19
1030,61,19
1031,61,19
1032,61,19
1033,61,19
1034,61,19
1035,61,19
1036,61,19
1037,61,18
1038,61,18
1039,61,18
1040,61,18
1041,61,18
1042,61,18
1043,61,18
1044,61,18
1045,61,18
1046,61,18
1047,61,18
1048,61,18
1049,61,18
1050,61,18
1051,61,18
1052,61,18
1053,61,18
1054,61,18
1055,61,18
1056,61,18
1057,61,18
1058,60,18
1059,60,17
1060,60,17
1061,60,17
1062,59,17
1063,59,17
1064,59,17
1065,59,18
1066,59,18
1067,59,18
1068,59,18
1069,59,18
1070,59,18
1071,59,18
1072,60,18
1073,60,18
1074,60,18
1075,60,18
1076,60,18
1077,60,19
1078,60,19
1079,60,19
1080,60,19
1081,60,19
1082,60,19
1083,60,19
1084,60,19
1085,60,20
1086,60,20
1087,60,20
1088,60,20
1089,60,20
1090,60,20
1091,60,20
1092,60,20
1093,60,20
1094,60,20
1095,60,19
1096,60,19
1097,60,19
1098,61,20
1099,61,20
1100,61,20
1101,61,20
1102,61,20
1103,61,20
1104,61,20
1105,61,20
1106,61,20
1107,61,20
1108,61,20
1109,61,20
1110,61,20
1111,61,20
1112,61,20
1113,61,20
1114,61,20
1115,61,20
1116,61,20
1117,61,20
1118,62,20
1119,62,20
1120,62,20
1121,62,20
1122,61,20
1123,61,20
1124,61,20
1125,61,20
1126,60,20
1127,60,20
1128,60,20
1129,60,19
1130,60,19
1131,60,19
1132,60,19
1133,60,19
1134,62,20
1135,62,20
1136,62,20
1137,62,20
1138,62,19
1139,62,19
1140,62,20
1141,62,20
1142,62,20
1143,62,20
1144,60,20
1145,60,20
1146,60,20
1147,60,20
1148,59,20
1149,59,20
1150,59,19
1151,59,19
1152,61,19
1153,61,19
1154,62,19
1155,62,19
1156,65,19
1157,65,19
1158,65,19
1159,65,18
1160,65,18
1161,65,18
1162,63,18
1163,63,18
1164,63,18
1165,63,18
1166,63,18
1167,63,16
1168,66,16
1169,66,16
1170,69,16
1171,69,16
1172,69,16
1173,69,16
1174,69,16
1175,69,16
1176,72,16
1177,72,16
1178,74,16
1179,74,16
1180,76,15
1181,76,15
1182,76,16
1183,76,16
1184,75,16
1185,75,16
1186,75,16
1187,75,16
1188,72,16
1189,72,16
1190,67,15
1191,67,15
1192,65,15
1193,65,15
1194,63,15
1195,63,15
1196,63,15
1197,63,15
1198,62,15
1199,62,15
1200,62,15
1201,62,15
1202,61,15
1203,61,15
1204,61,15
1205,61,15
1206,60,15
1207,60,15
1208,60,15
1209,60,15
1210,61,15
1211,61,15
1212,61,15
1213,61,15
1214,60,15
1215,60,15
1216,60,16
1217,60,16
1218,60,16
1219,60,17
1220,60,17
1221,60,17
1222,60,17
1223,60,17
1224,60,17
1225,60,17
1226,60,17
1227,60,17
1228,60,17
1229,60,18
1230,60,18
1231,60,18
1232,60,18
1233,60,18
1234,60,18
1235,60,18
1236,60,18
1237,60,18
1238,60,18
1239,60,18
1240,60,18
1241,60,18
1242,62,18
1243,62,18
1244,62,18
1245,62,18
1246,62,18
1247,62,18
1248,63,19
1249,63,19
1250,63,19
1251,63,19
1252,64,19
1253,64,19
1254,64,19
1255,64,18
1256,64,18
1257,64,18
1258,64,18
1259,64,18
1260,63,18
1261,63,18
1262,63,18
1263,63,18
1264,63,18
1265,63,18
1266,64,18
1267,64,18
1268,64,19
1269,64,19
1270,64,19
1271,64,18
1272,64,18
1273,64,18
1274,64,18
1275,64,18
1276,63,18
1277,63,19
1278,63,19
1279,63,19
1280,63,19
1281,63,18
1282,62,18
1283,62,18
1284,62,18
1285,62,18
1286,62,18
1287,62,18
1288,65,18
1289,65,18
1290,66,18
1291,66,18
1292,69,18
1293,69,18
1294,69,18
1295,69,18
1296,66,18
1297,66,18
1298,66,18
1299,66,18
1300,65,18
1301,65,18
1302,65,18
1303,65,18
1304,64,18
1305,64,18
1306,63,18
1307,63,18
1308,64,18
1309,64,18
1310,63,18
1311,63,18
1312,63,18
1313,63,18
1314,62,18
1315,62,18
1316,61,18
1317,61,18
1318,61,18
1319,61,18
1320,60,18
1321,60,18
1322,60,18
1323,60,18
1324,60,18
1325,60,18
1326,60,18
1327,60,18
1328,61,18
1329,61,17
1330,61,17
1331,61,17
1332,61,18
1333,61,18
1334,61,18
1335,61,18
1336,61,17
1337,61,17
1338,61,17
1339,61,18
1340,61,18
1341,61,18
1342,61,17
1343,61,17
1344,61,17
1345,61,18
1346,61,18
1347,61,18
1348,61,18
1349,61,18
1350,62,18
1351,62,18
1352,62,18
1353,62,18
1354,62,18
1355,62,18
1356,61,18
1357,61,18
1358,61,18
1359,61,18
1360,61,18
1361,61,18
1362,61,18
1363,61,18
1364,61,18
1365,61,18
1366,61,18
1367,61,18
1368,61,19
1369,61,19
1370,60,19
1371,60,19
1372,60,19
1373,60,19
1374,60,19
1375,60,19
1376,60,19
1377,60,19
1378,60,19
1379,60,19
1380,60,19
1381,60,20
1382,60,20
1383,60,20
1384,59,20
1385,59,20
1386,59,20
1387,59,18
1388,59,18
1389,59,18
1390,60,18
1391,60,18
1392,60,18
1393,60,18
1394,60,18
1395,60,18
1396,60,18
1397,60,18
1398,60,18
1399,60,18
1400,60,18
1401,60,18
1402,60,18
1403,60,18
1404,60,18
1405,60,18
1406,60,18
1407,60,18
1408,60,18
1409,60,18
1410,61,18
1411,61,18
1412,61,17
1413,61,18
1414,59,18
1415,59,18
1416,59,18
1417,59,18
1418,59,18
1419,59,18
1420,59,17
1421,59,17
1422,59,17
1423,59,18
1424,59,18
1425,59,18
1426,58,18
1427,58,18
1428,59,18
1429,59,18
1430,59,17
1431,59,17
1432,59,17
1433,59,17
1434,59,17
1435,59,17
1436,59,18
1437,59,18
1438,59,18
1439,59,19
1440,58,19
1441,58,19
1442,58,19
1443,58,19
1444,58,19
1445,58,19
1446,58,19
1447,58,19
1448,58,19
1449,58,19
1450,59,19
1451,59,19
1452,59,19
1453,59,19
1454,59,19
1455,59,19
1456,59,19
1457,59,19
1458,59,19
1459,59,19
1460,59,19
1461,59,19
1462,58,19
1463,58,19
1464,58,19
1465,58,19
1466,58,19
1467,58,19
1468,58,19
1469,58,19
1470,59,19
1471,59,19
1472,59,19
1473,59,19
1474,60,19
1475,60,19
1476,60,20
1477,60,20
1478,60,20
1479,60,20
1480,60,20
1481,60,20
1482,60,20
1483,60,19
1484,60,19
1485,60,19
1486,60,19
1487,60,19
1488,60,20
1489,60,20
1490,60,20
1491,60,20
1492,60,19
1493,60,19
1494,60,19
1495,60,19
1496,60,19
1497,60,19
1498,60,19
1499,60,19
1500,60,19
1501,60,19
1502,60,19
1503,60,19
1504,59,19
1505,59,19
1506,59,18
1507,59,18
1508,59,18
1509,59,18
1510,59,18
1511,59,18
1512,59,18
1513,59,18
1514,60,18
1515,60,18
1516,61,18
1517,61,18
1518,61,18
1519,61,18
1520,61,18
1521,61,18
1522,60,18
1523,60,18
1524,60,18
1525,60,18
1526,60,18
1527,60,18
1528,60,18
1529,60,18
1530,60,17
1531,60,17
1532,60,17
1533,60,18
1534,60,18
1535,60,18
1536,61,18
1537,61,17
1538,62,17
1539,62,17
1540,62,17
1541,62,17
1542,62,17
1543,62,17
1544,62,17
1545,62,17
1546,60,17
1547,60,17
1548,60,17
1549,60,17
1550,60,17
1551,60,17
1552,60,17
1553,60,17
1554,60,17
1555,60,17
1556,61,18
1557,61,18
1558,61,18
1559,61,18
1560,61,18
1561,61,18
1562,61,18
1563,61,18
1564,61,18
1565,61,18
1566,62,18
1567,62,19
1568,62,19
1569,62,19
1570,62,18
1571,62,18
1572,61,18
1573,61,19
1574,61,19
1575,61,19
1576,61,19
1577,61,19
1578,61,19
1579,61,19
1580,61,19
1581,61,19
1582,61,19
1583,61,19
1584,61,19
1585,61,20
1586,61,20
1587,61,20
1588,62,20
1589,62,20
1590,62,20
1591,62,20
1592,62,20
1593,62,20
1594,62,20
1595,62,20
1596,62,20
1597,62,20
1598,61,20
1599,61,20
1600,60,20
1601,60,20
1602,60,20
1603,60,20
1604,60,20
1605,60,20
1606,59,20
1607,59,20
1608,59,20
1609,59,20
1610,60,20
1611,60,20
1612,60,20
1613,60,20
1614,61,20
1615,61,20
1616,61,20
1617,61,20
1618,61,20
1619,61,20
1620,61,20
1621,61,20
1622,61,20
1623,61,21
1624,61,21
1625,61,21
1626,61,21
1627,61,20
1628,61,20
1629,61,20
1630,61,20
1631,61,20
1632,62,20
1633,62,20
1634,62,20
1635,62,20
1636,63,20
1637,63,20
1638,63,20
1639,63,20
1640,77,20
1641,77,19
1642,85,19
1643,85,20
1644,85,20
1645,85,20
1646,85,20
1647,85,20
1648,81,20
1649,81,20
1650,81,20
1651,81,20
1652,81,20
1653,81,20
1654,81,20
1655,81,20
1656,81,20
1657,81,21
1658,81,21
1659,81,21
1660,72,21
1661,72,20
1662,68,20
1663,68,20
1664,65,19
1665,65,19
1666,65,19
1667,65,19
1668,61,19
1669,61,19
1670,61,19
1671,61,19
1672,61,18
1673,61,18
1674,61,18
1675,61,19
1676,61,19
1677,61,19
1678,66,19
1679,66,19
1680,67,19
1681,67,19
1682,68,19
1683,68,19
1684,70,19
1685,70,19
1686,70,19
1687,70,20
1688,69,20
1689,69,20
1690,69,19
1691,69,19
1692,69,19
1693,69,19
1694,68,19
1695,68,19
1696,64,19
1697,64,18
1698,61,18
1699,61,18
1700,61,18
1701,61,17
1702,61,17
1703,61,17
1704,61,17
1705,61,17
1706,61,17
1707,61,17
1708,61,17
1709,61,17
1710,61,17
1711,61,17
1712,61,17
1713,61,17
1714,61,17
1715,61,17
1716,61,16
1717,61,16
1718,61,16
1719,61,16
1720,61,16
1721,61,16
1722,60,16
1723,60,16
1724,60,16
1725,60,16
1726,60,16
1727,60,16
1728,60,16
1729,60,16
1730,60,16
1731,60,16
1732,60,16
1733,60,16
1734,60,16
1735,60,16
1736,60,15
1737,60,15
1738,60,15
1739,60,15
1740,61,15
1741,61,15
1742,61,15
1743,61,15
1744,61,15
1745,61,15
1746,61,15
1747,61,15
1748,60,15
1749,60,15
1750,60,15
1751,60,15
1752,59,15
1753,59,15
1754,59,15
1755,59,16
1756,59,16
1757,59,16
1758,60,16
1759,60,16
1760,60,16
1761,60,16
1762,61,16
1763,61,16
1764,61,16
1765,61,16
1766,63,18
1767,63,18
1768,63,18
1769,63,18
1770,63,18
1771,63,18
1772,62,19
1773,62,19
1774,61,19
1775,61,19
1776,61,19
1777,61,19
1778,61,19
1779,61,19
1780,61,19
1781,61,20
1782,61,20
1783,61,20
1784,61,20
1785,61,20
1786,61,20
1787,61,20
1788,61,19
1789,61,19
1790,61,20
1791,61,20
1792,61,20
1793,61,20
1794,61,19
1795,61,19
1796,61,19
1797,61,20
1798,61,20
1799,61,20
1800,61,20
1801,61,20
1802,61,20
1803,61,20
1804,61,20
1805,61,20
1806,61,20
1807,61,20
1808,60,20
1809,60,20
1810,61,19
1811,61,19
1812,61,19
1813,61,19
1814,60,19
1815,60,19
1816,60,18
1817,60,18
1818,60,18
1819,60,18
1820,60,18
1821,60,18
1822,60,18
1823,60,18
1824,61,18
1825,61,18
1826,62,18
1827,62,18
1828,62,18
1829,62,18
1830,62,18
1831,62,18
1832,62,18
1833,62,18
1834,62,18
1835,62,18
1836,61,18
1837,61,18
1838,62,18
1839,62,18
1840,62,18
1841,62,18
1842,62,18
1843,62,18
1844,62,18
1845,62,18
1846,62,18
1847,62,18
1848,62,18
1849,62,18
1850,61,18
1851,61,18
1852,61,18
1853,61,18
1854,61,18
1855,61,18
1856,60,18
1857,60,18
1858,60,18
1859,60,18
1860,59,20
1861,59,20
1862,59,20
1863,59,20
1864,59,20
1865,59,20
1866,59,20
1867,59,20
1868,59,19
1869,59,19
1870,59,19
1871,59,19
1872,59,19
1873,59,19
1874,59,19
1875,59,19
1876,59,19
1877,59,19
1878,59,19
1879,59,19
1880,59,19
1881,59,19
1882,59,19
1883,59,19
1884,59,19
1885,59,19
1886,57,19
1887,57,19
1888,56,19
1889,56,19
1890,56,19
1891,56,19
1892,56,19
1893,56,18
1894,57,18
1895,57,18
1896,58,18
1897,58,18
1898,58,18
1899,58,18
1900,59,18
1901,59,18
1902,59,18
1903,59,18
1904,61,18
1905,61,18
1906,62,18
1907,62,18
